[210]		一	×一
[695]		図	⿴{囗,⿻×{ツ,ヽ}}
[696]		坂	⿰{土,反}
[697]		均	⿰{土,匀}
[698]		坊	⿰{土,方}
[699]		坐	⿻⿱{土,从}
[700]		坑	⿰{土,亢}
[701]		声	⿱{士,𠃜}
[702]		壱	⿱{士,⿱{冖,匕}}
[703]		売	⿱{士,⿱{冖,儿}}
[704]		夾	⿻×{大,从}
[705]		妊	⿰{女,壬}
[706]		妓	⿰{女,支}
[707]		妖	⿰{女,夭}
[708]		妙	⿰{女,少}
[709]		妥	⿱{⺤,女}
[710]		妨	⿰{女,方}
[711]		孜	⿰{孑,攵}
[712]		孝	⿻⿱{⺹,子}
[713]		宋	⿱{宀,木}
[714]		完	⿱{宀,元}
[715]		宍	⿱{宀,六}
[716]		宏	⿱{宀,厷}
[717]		対	⿰{⿱{亠,㐅},寸}
[718]		寿	⿻⿱{龵,寸}
[719]		尨	⿷{尤,彡}
[720]		尾	⿸{尸,毛}
[721]		尿	⿸{尸,水}
[722]		局	⿸{尸,⿹{㇆,口}}(⿸{尸,可})
[723]		屁	⿸{尸,比}
[724]		岐	⿰{山,支}
[725]		巫	⿻×{工,从}
[726]		希	⿱{㐅,布}
[727]		庇	⿸{广,比}
[728]		床	⿸{广,木}
[729]		序	⿸{广,予}
[730]		廷	⿺{廴,壬}
[731]		弄	⿱{王,廾}
[732]		弟	⿻⿹{⿱{丷,弔},ノ}
[733]		形	⿰{开,彡}
[734]		彷	⿰{彳,方}
[735]		役	⿰{彳,殳}
[736]		忌	⿱{己,心}
[737]		忍	⿱{刃,心}
[738]		志	⿱{士,心}
[739]		忘	⿱{亡,心}
[740]		応	⿸{广,心}
[741]		快	⿰{忄,夬}
[742]		忸	⿰{忄,丑}
[744]		我	⿰{⿻↖{ノ,扌},戈}(⿻⿰{手,戈})
[745]		戒	⿹{戈,廾}
[746]		戻	⿸{戸,大}
[747]		扮	⿰{扌,分}
[748]		扶	⿰{扌,夫}
[749]		批	⿰{扌,比}
[750]		扼	⿰{扌,厄}
[751]		技	⿰{扌,支}
[752]		抄	⿰{扌,少}
[753]		抉	⿰{扌,夬}
[754]		把	⿰{扌,巴}
[755]		抑	⿰{扌,卬}
[756]		抒	⿰{扌,予}
[757]		抓	⿰{扌,爪}
[758]		投	⿰{扌,殳}
[759]		抗	⿰{扌,亢}
[760]		折	⿰{扌,斤}
[761]		抛	⿰{扌,⿺{九,力}}
[762]		抜	⿰{扌,友}
[763]		択	⿰{扌,尺}
[764]		改	⿰{己,攵}
[765]		攻	⿰{工,攵}
[766]		旱	⿱{日,十}
[767]		更	⿻⿱{⿻×{⿱{一,日},丿},乀}
[768]		曵	⿻⿺{⿻⿱{⿻×{日,㇂},ノ},丶}
[769]		杉	⿰{木,彡}
[770]		李	⿱{木,子}
[771]		杏	⿱{木,口}
[772]		材	⿰{木,オ}
[773]		村	⿰{木,寸}
[774]		杓	⿰{木,⿹{勹,一}}(⿰{木,勺})
[775]		杖	⿰{木,丈}
[776]		杜	⿰{木,土}
[777]		杞	⿰{木,己}
[779]		束	⿻⿱{⿻⿱{一,中},人}
[780]		条	⿱{夂,木}
[781]		杣	⿰{木,山}
[782]		来	⿻⿱{一,米}
[783]		求	⿻⿺{⿻⿱{一,水},丶}
[784]		汞	⿻⿱{二,水}
[785]		汪	⿰{氵,王}
[786]		汰	⿰{氵,太}
[787]		汲	⿰{氵,及}
[788]		決	⿰{氵,夬}
[789]		汽	⿰{氵,气}
[790]		沁	⿰{氵,心}
[791]		沃	⿰{氵,夭}
[792]		沈	⿰{氵,⿻×{⿻×{冖,丿},乚}}
[793]		沐	⿰{氵,木}
[794]		沖	⿰{氵,中}
[795]		沙	⿰{氵,少}
[796]		没	⿰{氵,殳}
[797]		沢	⿰{氵,尺}
[798]		灸	⿱{久,火}
[799]		灼	⿰{火,勺}(⿰{火,⿹{勹,一}})
[800]		災	⿱{巛,火}
[801]		牡	⿰{牜,土}
[802]		牢	⿱{宀,牛}
[803]		状	⿰{⺦,犬}
[804]		狂	⿰{犭,王}
[805]		玖	⿰{𤣩,久}
[806]		男	⿱{田,力}
[807]		町	⿰{田,丁}
[808]		皀	⿱{白,匕}
[809]		社	⿰{⺭,土}
[810]		禿	⿱{夭,儿}
[811]		秀	⿱{夭,乃}
[812]		私	⿰{禾,厶}
[813]		究	⿱{⿻⿱{宀,儿},九}
[814]		糺	⿰{糸,乚}
[815]		系	⿱{ノ,糸}
[816]		肖	⿱{⺌,月}
[817]		肘	⿰{月,寸}
[818]		肛	⿰{月,工}
[819]		肝	⿰{月,千}
[820]		臣	⿻⿷{匚,⿻⿱{⿻⿱{丨,コ},丨}}
[822]		良	⿻⿸{⿻⿱{⿻↖{′,∃},レ},⿻⿱{ノ,乀}}
[823]		芙	⿱{⺾,夫}
[824]		芟	⿱{⺾,殳}
[825]		芥	⿱{⺾,介}
[826]		芦	⿱{⺾,戶}(⿱{⺾,戸})
[827]		芬	⿱{⺾,分}
[828]		芭	⿱{⺾,巴}
[829]		芯	⿱{⺾,心}
[830]		花	⿱{⺾,化}
[831]		芳	⿱{⺾,方}
[832]		芸	⿱{⺾,云}
[833]		芹	⿱{⺾,斤}
[834]		苅	⿱{⺾,刈}
[835]		見	⿱{目,儿}
[836]		角	⿻⿱{⺈,⿻×{⿻×{⺆,丨},二}}(⿻⿱{⺈,用})
[837]		言	⿱{亖,口}
[838]		谷	⿱{ハ,⿻⿱{人,口}}
[839]		豆	⿳{一,口,䒑}
[840]		貝	⿱{目,ハ}
[841]		赤	⿻⿱{十,⿻×{⿻⿱{一,⿻⿰{丿,亅}},ハ}}(⿻⿱{十,刅})(⿻⿱{土,⿻×{⿻⿰{丿,亅},ハ}})
[842]		走	⿻⿱{土,龰}
[843]		足	⿻⿱{口,龰}
[845]		身	⿻×{⿻×{⿻×{⿻⿰{⿻⿱{′,丨},㇆},二},一},ノ}
[846]		車	⿻×{⿳{一,日,一},丨}
[847]		辛	⿱{立,十}
[848]		辰	⿸{厂,⿻⿱{二,⿻⿸{レ,⿻⿱{ノ,乀}}}}
[849]		迎	⿺{⻌,卬}
[850]		近	⿺{⻌,斤}
[851]		返	⿺{⻌,反}
[852]		邑	⿱{口,巴}
[853]		那	⿰{月,阝}
[854]		邦	⿰{⿻×{三,丿},阝}
[855]		酉	⿻×{⿻×{⿱{一,冂},儿},二}(⿻×{西,一})
[856]		里	⿻⿱{⿻×{日,丨},二}(⿻×{⿱{日,二},丨})
[857]		阪	⿰{阝,反}
[858]		阮	⿰{阝,元}
[859]		防	⿰{阝,方}
[860]		麦	⿱{龶,夂}
